Altium Designer Pick and Place Locations
C:\Users\js010582\Documents\workspace\Shadowfang\Project_Files\Project Outputs for Shadowfang_Proj\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       23/11/25
Time:       12:35
Revision:   5d2ed34d1719052d32983700950568f2d6950247
Variant:    No variations
Units used: mm

Designator Comment                 Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                              
S1         PTS_647_SN50_SMTR2_LFS  TopLayer SW_PTS_647_SN50_SMTR2_LFS 8.5094       19.8120      90       "Tactile Switch SPST-NO Top Actuated Surface Mount"                                                                                                      
R10        "GENERIC 0603 RESISTOR" TopLayer RESC1608X06L              -9.6520      16.1290      180      "GENERIC 0603 RESISTOR"                                                                                                                                  
D6         Yellow                  TopLayer FP-LTST-C191KSKT-MFG      -9.6520      17.6530      0        "LED YELLOW CLEAR SMD"                                                                                                                                   
S2         PTS_647_SN50_SMTR2_LFS  TopLayer SW_PTS_647_SN50_SMTR2_LFS 2.6670       19.8120      90       "Tactile Switch SPST-NO Top Actuated Surface Mount"                                                                                                      
S3         PTS_647_SN50_SMTR2_LFS  TopLayer SW_PTS_647_SN50_SMTR2_LFS -3.1750      19.8120      90       "Tactile Switch SPST-NO Top Actuated Surface Mount"                                                                                                      
R9         "GENERIC 0603 RESISTOR" TopLayer RESC1608X06L              -9.6520      19.3040      180      "GENERIC 0603 RESISTOR"                                                                                                                                  
D5         Green                   TopLayer FP-LTST-C191KGKT-MFG      -9.6520      20.8280      0        "LED GREEN CLEAR SMD"                                                                                                                                    
Y1         ABM8-16.000MHZ-B2-T     TopLayer FP-ABM8-MFG               -3.8100      12.3190      180      "Crystal 16MHz ±20ppm 18pF SMD-4 3.2mm x 2.5mm"                                                                                                          
USB        217179-0001             TopLayer FP-2171790001-MFG         0.0000       -23.2465     0        "CONN RCP USB2.0 TYP C 24P SMD RA"                                                                                                                       
U1         MIC5219-5.0YM5-TR       TopLayer FP-SOT23-5LD-PL-1-MFG     -2.9210      -12.7000     0        "IC REG LINEAR 5V 500MA SOT23-5"                                                                                                                         
R8         0                       TopLayer RES_0603                  -6.0960      7.3660       180      "Metal Glaze/thick Film, 0.1W, 0ohm, Surface Mount, 0603"                                                                                                
R7         "GENERIC 0603 RESISTOR" TopLayer RESC1608X06L              -0.6350      -18.6690     90       "GENERIC 0603 RESISTOR"                                                                                                                                  
R6         "GENERIC 0603 RESISTOR" TopLayer RESC1608X06L              6.0960       11.9380      90       "GENERIC 0603 RESISTOR"                                                                                                                                  
R5         "GENERIC 0603 RESISTOR" TopLayer RESC1608X06L              0.8890       -18.6690     90       "GENERIC 0603 RESISTOR"                                                                                                                                  
R4         "GENERIC 0603 RESISTOR" TopLayer RESC1608X06L              7.3660       -4.6990      90       "GENERIC 0603 RESISTOR"                                                                                                                                  
R3         "GENERIC 0603 RESISTOR" TopLayer RESC1608X06L              7.3660       11.9380      90       "GENERIC 0603 RESISTOR"                                                                                                                                  
R2         "GENERIC 0603 RESISTOR" TopLayer RESC1608X06L              -1.6510      -8.8900      270      "GENERIC 0603 RESISTOR"                                                                                                                                  
R1         0                       TopLayer RES_0603                  0.7620       -13.8430     90       "Metal Glaze/thick Film, 0.1W, 0ohm, Surface Mount, 0603"                                                                                                
JP7        22-28-4146              TopLayer FP-22-28-4146-MFG         11.1760      -4.3180      90       "CONN HEADER VERT 14POS 2.54MM"                                                                                                                          
JP6        22-28-4146              TopLayer FP-22-28-4146-MFG         -11.1760     -4.3180      90       "CONN HEADER VERT 14POS 2.54MM"                                                                                                                          
F1         0805L050WR              TopLayer FP-0805L-MFG              2.6670       -17.7800     90       "PTC RESET FUSE 6V 500MA 0805"                                                                                                                           
D4         Yellow                  TopLayer FP-LTST-C191KSKT-MFG      4.5720       11.8110      270      "LED YELLOW CLEAR SMD"                                                                                                                                   
